columns,score1,score2,score3,score4,score5
(),0.5644599303135889,0.5203252032520326,0.70267131242741,0.7200929152148664,0.6643437862950058
('Pressão Atmosférica (atm)',),0.5481997677119629,0.49709639953542395,0.6945412311265969,0.7375145180023229,0.6655052264808362
('Velocidade do vento (m/s)',),0.5493612078977933,0.4901277584204414,0.6980255516840883,0.727061556329849,0.6840882694541232
('Avaliação qualitativa do estado do tempo',),0.5574912891986062,0.502903600464576,0.7073170731707317,0.7247386759581882,0.6608594657375145
('Nível de nebulosidade (%)',),0.5481997677119629,0.48664343786295006,0.7003484320557491,0.7224157955865272,0.6515679442508711
('Year',),0.6213704994192799,0.5052264808362369,0.6910569105691057,0.7282229965156795,0.6887340301974448
('Month',),0.5656213704994193,0.6236933797909407,0.7224157955865272,0.718931475029036,0.686411149825784
('Day',),0.554006968641115,0.5145180023228804,0.7212543554006968,0.7282229965156795,0.6968641114982579
('Temperatura (ºC)',),0.5505226480836237,0.5087108013937283,0.7084785133565621,0.7317073170731707,0.6666666666666666
('Sensação Térmica (ºC)',),0.5493612078977933,0.49477351916376305,0.7084785133565621,0.7317073170731707,0.667828106852497
('Temperatura Máxima (ºC)',),0.562137049941928,0.5145180023228804,0.7038327526132404,0.7375145180023229,0.6736353077816493
('Temperatura Mínima (ºC)',),0.5493612078977933,0.502903600464576,0.7131242740998839,0.7305458768873403,0.6782810685249709
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)'),0.5656213704994193,0.49709639953542395,0.6887340301974448,0.7328687572590011,0.670150987224158
('Pressão Atmosférica (atm)', 'Avaliação qualitativa do estado do tempo'),0.5481997677119629,0.5017421602787456,0.7119628339140535,0.7282229965156795,0.6806039488966318
('Pressão Atmosférica (atm)', 'Nível de nebulosidade (%)'),0.5714285714285714,0.4994192799070848,0.7015098722415796,0.7282229965156795,0.6713124274099884
('Pressão Atmosférica (atm)', 'Year'),0.6132404181184669,0.5040650406504065,0.7049941927990708,0.7282229965156795,0.6829268292682927
('Pressão Atmosférica (atm)', 'Month'),0.5934959349593496,0.6213704994192799,0.7073170731707317,0.727061556329849,0.710801393728223
('Pressão Atmosférica (atm)', 'Day'),0.5493612078977933,0.5342624854819977,0.7177700348432056,0.7247386759581882,0.6806039488966318
('Pressão Atmosférica (atm)', 'Temperatura (ºC)'),0.5516840882694541,0.5156794425087108,0.6957026713124274,0.7363530778164924,0.662020905923345
('Pressão Atmosférica (atm)', 'Sensação Térmica (ºC)'),0.5598141695702671,0.5087108013937283,0.7038327526132404,0.7363530778164924,0.667828106852497
('Pressão Atmosférica (atm)', 'Temperatura Máxima (ºC)'),0.5528455284552846,0.5121951219512195,0.7119628339140535,0.743321718931475,0.6666666666666666
('Pressão Atmosférica (atm)', 'Temperatura Mínima (ºC)'),0.5516840882694541,0.5063879210220673,0.7073170731707317,0.7293844367015099,0.670150987224158
('Velocidade do vento (m/s)', 'Avaliação qualitativa do estado do tempo'),0.5528455284552846,0.4878048780487805,0.7003484320557491,0.7305458768873403,0.6747967479674797
('Velocidade do vento (m/s)', 'Nível de nebulosidade (%)'),0.5679442508710801,0.4831591173054588,0.6945412311265969,0.7305458768873403,0.6689895470383276
('Velocidade do vento (m/s)', 'Year'),0.6144018583042973,0.4912891986062718,0.6910569105691057,0.7305458768873403,0.7061556329849012
('Velocidade do vento (m/s)', 'Month'),0.5772357723577236,0.6097560975609756,0.7212543554006968,0.7328687572590011,0.6957026713124274
('Velocidade do vento (m/s)', 'Day'),0.5563298490127758,0.4831591173054588,0.70267131242741,0.7328687572590011,0.6910569105691057
('Velocidade do vento (m/s)', 'Temperatura (ºC)'),0.5423925667828107,0.4878048780487805,0.6968641114982579,0.7328687572590011,0.6666666666666666
('Velocidade do vento (m/s)', 'Sensação Térmica (ºC)'),0.5609756097560976,0.4889663182346109,0.6806039488966318,0.727061556329849,0.686411149825784
('Velocidade do vento (m/s)', 'Temperatura Máxima (ºC)'),0.5609756097560976,0.48548199767711964,0.6991869918699187,0.735191637630662,0.6608594657375145
('Velocidade do vento (m/s)', 'Temperatura Mínima (ºC)'),0.5365853658536586,0.4843205574912892,0.7015098722415796,0.7375145180023229,0.6736353077816493
('Avaliação qualitativa do estado do tempo', 'Nível de nebulosidade (%)'),0.537746806039489,0.47851335656213706,0.6957026713124274,0.7305458768873403,0.6852497096399536
('Avaliação qualitativa do estado do tempo', 'Year'),0.6260162601626016,0.502903600464576,0.70267131242741,0.7224157955865272,0.6840882694541232
('Avaliação qualitativa do estado do tempo', 'Month'),0.5470383275261324,0.6132404181184669,0.7177700348432056,0.735191637630662,0.6898954703832753
('Avaliação qualitativa do estado do tempo', 'Day'),0.554006968641115,0.5180023228803716,0.7142857142857143,0.7375145180023229,0.6922183507549361
('Avaliação qualitativa do estado do tempo', 'Temperatura (ºC)'),0.5505226480836237,0.5040650406504065,0.7142857142857143,0.7305458768873403,0.6736353077816493
('Avaliação qualitativa do estado do tempo', 'Sensação Térmica (ºC)'),0.5447154471544715,0.5017421602787456,0.7212543554006968,0.7235772357723578,0.6527293844367015
('Avaliação qualitativa do estado do tempo', 'Temperatura Máxima (ºC)'),0.5505226480836237,0.5133565621370499,0.6957026713124274,0.7328687572590011,0.6643437862950058
('Avaliação qualitativa do estado do tempo', 'Temperatura Mínima (ºC)'),0.5423925667828107,0.5249709639953543,0.7200929152148664,0.7409988385598142,0.667828106852497
('Nível de nebulosidade (%)', 'Year'),0.6260162601626016,0.4901277584204414,0.6922183507549361,0.7282229965156795,0.6957026713124274
('Nível de nebulosidade (%)', 'Month'),0.5609756097560976,0.6051103368176539,0.7177700348432056,0.7363530778164924,0.6945412311265969
('Nível de nebulosidade (%)', 'Day'),0.5667828106852497,0.5075493612078978,0.7212543554006968,0.7444831591173054,0.6887340301974448
('Nível de nebulosidade (%)', 'Temperatura (ºC)'),0.5423925667828107,0.5075493612078978,0.7235772357723578,0.7293844367015099,0.6608594657375145
('Nível de nebulosidade (%)', 'Sensação Térmica (ºC)'),0.5470383275261324,0.4843205574912892,0.7061556329849012,0.7305458768873403,0.6573751451800233
('Nível de nebulosidade (%)', 'Temperatura Máxima (ºC)'),0.554006968641115,0.4878048780487805,0.6991869918699187,0.7305458768873403,0.6550522648083623
('Nível de nebulosidade (%)', 'Temperatura Mínima (ºC)'),0.5470383275261324,0.5087108013937283,0.7073170731707317,0.7375145180023229,0.667828106852497
('Year', 'Month'),0.6492450638792102,0.6190476190476191,0.7293844367015099,0.7317073170731707,0.6991869918699187
('Year', 'Day'),0.6213704994192799,0.5098722415795587,0.718931475029036,0.7398373983739838,0.7038327526132404
('Year', 'Temperatura (ºC)'),0.6236933797909407,0.5145180023228804,0.70267131242741,0.727061556329849,0.6852497096399536
('Year', 'Sensação Térmica (ºC)'),0.6097560975609756,0.5075493612078978,0.6933797909407665,0.7305458768873403,0.6806039488966318
('Year', 'Temperatura Máxima (ºC)'),0.6248548199767712,0.4878048780487805,0.7049941927990708,0.7398373983739838,0.6829268292682927
('Year', 'Temperatura Mínima (ºC)'),0.6097560975609756,0.5040650406504065,0.7096399535423926,0.7363530778164924,0.6852497096399536
('Month', 'Day'),0.5679442508710801,0.6306620209059234,0.7317073170731707,0.743321718931475,0.7049941927990708
('Month', 'Temperatura (ºC)'),0.5586527293844367,0.6202090592334495,0.7235772357723578,0.7212543554006968,0.6910569105691057
('Month', 'Sensação Térmica (ºC)'),0.5667828106852497,0.6202090592334495,0.7224157955865272,0.7328687572590011,0.6875725900116144
('Month', 'Temperatura Máxima (ºC)'),0.5714285714285714,0.6225319396051103,0.718931475029036,0.7212543554006968,0.6747967479674797
('Month', 'Temperatura Mínima (ºC)'),0.5598141695702671,0.6051103368176539,0.727061556329849,0.7340301974448316,0.686411149825784
('Day', 'Temperatura (ºC)'),0.5400696864111498,0.5110336817653891,0.7154471544715447,0.7375145180023229,0.6910569105691057
('Day', 'Sensação Térmica (ºC)'),0.5354239256678281,0.519163763066202,0.7293844367015099,0.735191637630662,0.6829268292682927
('Day', 'Temperatura Máxima (ºC)'),0.5493612078977933,0.5284552845528455,0.7235772357723578,0.7444831591173054,0.6655052264808362
('Day', 'Temperatura Mínima (ºC)'),0.5423925667828107,0.537746806039489,0.7224157955865272,0.7456445993031359,0.6782810685249709
('Temperatura (ºC)', 'Sensação Térmica (ºC)'),0.5551684088269454,0.4959349593495935,0.6945412311265969,0.7305458768873403,0.6689895470383276
('Temperatura (ºC)', 'Temperatura Máxima (ºC)'),0.5493612078977933,0.5168408826945412,0.6957026713124274,0.7386759581881533,0.6585365853658537
('Temperatura (ºC)', 'Temperatura Mínima (ºC)'),0.5528455284552846,0.5284552845528455,0.7049941927990708,0.7468060394889663,0.670150987224158
('Sensação Térmica (ºC)', 'Temperatura Máxima (ºC)'),0.5644599303135889,0.4912891986062718,0.7177700348432056,0.7293844367015099,0.6596980255516841
('Sensação Térmica (ºC)', 'Temperatura Mínima (ºC)'),0.5400696864111498,0.5156794425087108,0.7119628339140535,0.7409988385598142,0.6794425087108014
('Temperatura Máxima (ºC)', 'Temperatura Mínima (ºC)'),0.5389082462253194,0.5145180023228804,0.7061556329849012,0.7340301974448316,0.6689895470383276
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)', 'Avaliação qualitativa do estado do tempo'),0.5760743321718932,0.5075493612078978,0.6922183507549361,0.7444831591173054,0.6666666666666666
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)', 'Nível de nebulosidade (%)'),0.5632984901277585,0.4912891986062718,0.7038327526132404,0.7409988385598142,0.6724738675958188
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)', 'Year'),0.6248548199767712,0.5052264808362369,0.6957026713124274,0.7375145180023229,0.6806039488966318
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)', 'Month'),0.5795586527293844,0.6341463414634146,0.710801393728223,0.7409988385598142,0.6933797909407665
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)', 'Day'),0.5667828106852497,0.5180023228803716,0.710801393728223,0.7398373983739838,0.6747967479674797
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)', 'Temperatura (ºC)'),0.5679442508710801,0.5110336817653891,0.6898954703832753,0.7328687572590011,0.6747967479674797
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)', 'Sensação Térmica (ºC)'),0.5749128919860628,0.5005807200929152,0.6898954703832753,0.7398373983739838,0.6724738675958188
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)', 'Temperatura Máxima (ºC)'),0.5598141695702671,0.5052264808362369,0.6852497096399536,0.7468060394889663,0.6666666666666666
('Pressão Atmosférica (atm)', 'Velocidade do vento (m/s)', 'Temperatura Mínima (ºC)'),0.5679442508710801,0.5121951219512195,0.6910569105691057,0.7305458768873403,0.6596980255516841
('Pressão Atmosférica (atm)', 'Avaliação qualitativa do estado do tempo', 'Nível de nebulosidade (%)'),0.5528455284552846,0.4738675958188153,0.6782810685249709,0.7166085946573751,0.6713124274099884
('Pressão Atmosférica (atm)', 'Avaliação qualitativa do estado do tempo', 'Year'),0.6260162601626016,0.5017421602787456,0.7073170731707317,0.7282229965156795,0.6631823461091754
('Pressão Atmosférica (atm)', 'Avaliação qualitativa do estado do tempo', 'Month'),0.5656213704994193,0.6213704994192799,0.7084785133565621,0.7177700348432056,0.6840882694541232
('Pressão Atmosférica (atm)', 'Avaliação qualitativa do estado do tempo', 'Day'),0.5691056910569106,0.5249709639953543,0.727061556329849,0.7398373983739838,0.6875725900116144
('Pressão Atmosférica (atm)', 'Avaliação qualitativa do estado do tempo', 'Temperatura (ºC)'),0.554006968641115,0.502903600464576,0.6887340301974448,0.7282229965156795,0.6724738675958188
('Pressão Atmosférica (atm)', 'Avaliação qualitativa do estado do tempo', 'Sensação Térmica (ºC)'),0.5574912891986062,0.5110336817653891,0.7154471544715447,0.727061556329849,0.6655052264808362
('Pressão Atmosférica (atm)', 'Avaliação qualitativa do estado do tempo', 'Temperatura Máxima (ºC)'),0.5458768873403019,0.5063879210220673,0.7038327526132404,0.7340301974448316,0.667828106852497
('Pressão Atmosférica (atm)', 'Avaliação qualitativa do estado do tempo', 'Temperatura Mínima (ºC)'),0.5493612078977933,0.5110336817653891,0.7177700348432056,0.735191637630662,0.6747967479674797
('Pressão Atmosférica (atm)', 'Nível de nebulosidade (%)', 'Year'),0.6178861788617886,0.4889663182346109,0.6898954703832753,0.7293844367015099,0.6910569105691057
('Pressão Atmosférica (atm)', 'Nível de nebulosidade (%)', 'Month'),0.5679442508710801,0.6260162601626016,0.7212543554006968,0.7247386759581882,0.6887340301974448
('Pressão Atmosférica (atm)', 'Nível de nebulosidade (%)', 'Day'),0.5667828106852497,0.5156794425087108,0.7038327526132404,0.7375145180023229,0.6794425087108014
('Pressão Atmosférica (atm)', 'Nível de nebulosidade (%)', 'Temperatura (ºC)'),0.5563298490127758,0.5087108013937283,0.70267131242741,0.735191637630662,0.662020905923345
('Pressão Atmosférica (atm)', 'Nível de nebulosidade (%)', 'Sensação Térmica (ºC)'),0.5586527293844367,0.4959349593495935,0.6887340301974448,0.7259001161440186,0.6689895470383276
('Pressão Atmosférica (atm)', 'Nível de nebulosidade (%)', 'Temperatura Máxima (ºC)'),0.5528455284552846,0.4901277584204414,0.6933797909407665,0.7293844367015099,0.6562137049941928
('Pressão Atmosférica (atm)', 'Nível de nebulosidade (%)', 'Temperatura Mínima (ºC)'),0.5574912891986062,0.5005807200929152,0.7038327526132404,0.7259001161440186,0.6643437862950058
